LEV_2_2016,LEV_1_2016,LEV1_DESC,LEV2_DESC,LEV_2_ALT_,Code1,Code2
1,1,Maize mixed,Ethiopian maize-livestock,Ethiopian maize-livestock subsystem,MaM,EtML
2,1,Maize mixed,Kenyan-Ugandan hoe-tractor maized mixed,Kenyan-Ugandan hoe-tractor subsystem,MaM,KeUHTMM
3,1,Maize mixed,Tanzanian semi-mechanized maize mixed,Tanzanian semi-mechanized subsystem,MaM,TaSMMM
4,1,Maize mixed,Malawian market-linked maize mixed,Malawian market-linked subsystem,MaM,MaMLMM
5,1,Maize mixed,Central African scattered maize-root crop,Central African scattered maize-root crop subsystem,MaM,CeASMRC
6,1,Maize mixed,Mozambiquan extensive maize mixed,Mozambiquan extensive subsystem,MaM,MoEMM
7,1,Maize mixed,Southern African dualistic maize mixed,Southern African dualistic subsystem,MaM,SoADMM
8,1,Maize mixed,Zambian medium population density maize mixed,Zambian medium population density subsystem,MaM,ZaMPDMM
9,1,Maize mixed,Madagascan maize-rice,Madagascan maize-rice subsystem,MaM,MaMR
10,3,Highland perennial,Southern Ethiopian highland perennial,Southern Ethiopian subsystem,HiP,SoEHP
11,3,Highland perennial,Albertine Rift highland perennial,Albertine Rift subsystem,HiP,AlRHP
12,3,Highland perennial,Northern Tanzanian highland perennial,Northern Tanzanian subsystem,HiP,NoTHP
13,3,Highland perennial,Southern Tanzanian highland perennial,Southern Tanzanian subsystem,HiP,SoTHP
14,3,Highland perennial,Central Kenyan highland perennial,Central Kenyan subsystem,HiP,CeKHP
15,3,Highland perennial,Western Kenyan highland perennial,Western Kenyan subsystem,HiP,WeKHP
16,6,Highland mixed,Highland livestock-cereal,Highland livestock-cereal subsystem,HiM,HiLC
17,6,Highland mixed,Highland wheat-pulse,Highland wheat-pulse subsystem,HiM,HiWP
18,6,Highland mixed,Highland maize-teff,Highland maize-teff subsystem,HiM,HiMT
19,5,Cereal-root crop mixed,Cereal-pulse-root crop,Cereal-pulse subsystem,CeCM,CePRC
20,5,Cereal-root crop mixed,Root crop-cereal,Root crop-cereal subsystem,CeCM,RoCC
21,2,Agropastoral,Sahelian agropastoral,Sahelian subsystem,AgNAA,SaA
22,2,Agropastoral,East African agropastoral,East African subsystem,AgNAA,EaAA
23,2,Agropastoral,Southern African agropastoral,Southern African subsystem,AgNAA,SoAA
24,4,Root and tuber crop,Yam-cassava,Yam-cassava subsystem,RoATC,YaC
25,4,Root and tuber crop,Cassava-yam-cocoyam,Cassava-yam-cocoyam subsystem,RoATC,CaYC
26,4,Root and tuber crop,Cassava-cocoyam,Cassava-cocoyam subsystem,RoATC,CaC
27,4,Root and tuber crop,Cassava-sweet potato-potato,Cassava-sweet potato-potato subsystem,RoATC,CaSPP
28,4,Root and tuber crop,Cassava,Cassava subsystem,RoATC,CaNAC
29,9,Fish-based,Coral reef fish-based,Coral reef subsystem,FiNAF,CoRFB
30,9,Fish-based,Sandy coast fish-based,Sandy coast subsystem,FiNAF,SaCFB
31,9,Fish-based,Mangrove deltaic fish-based,Mangrove deltaic subsystem,FiNAF,MaDFB
32,9,Fish-based,Lake fish-based,Lake subsystem,FiNAF,LaFB
33,9,Fish-based,Floodplain fish-based,Floodplain subsystem,FiNAF,FlFB
34,8,Pastoral,Sahelian pastoral,Sahelian subsystem,PaNAP,SaP
35,8,Pastoral,East African pastoral,East African subsystem,PaNAP,EaAP
36,8,Pastoral,Southern African pastoral,Southern African subsystem,PaNAP,SoAP
39,12,Perennial mixed,Grape and deciduous fruit perennial mixed,Grape and deciduous fruit subsystem,PeM,GrADFPM
40,12,Perennial mixed,Sugarcane and production forest perennial mixed,Sugarcane and production forest subsystem,PeM,SuAPFPM
80,8,Pastoral,North African pastoral,North African subsystem,PaNAP,NoAP
110,11,Large-scale irrigated,North African large-scale irrigated,North African large-scale irrigated subsystem,LaI,NoALSI
120,12,Perennial mixed,North African rainfed perennial mixed,North African rainfed mixed subsystem,PeM,NoARPM
130,13,Arid pastoral oasis,North African arid pastoral oasis,North African arid pastoral oasis subsystem,ArPO,NoAAPO
200,2,Agropastoral,North African dryland mixed,North African dryland mixed subsystem,AgNAA,NoADM
600,6,Highland mixed,North African highland mixed,North African highland mixed subsystem,HiM,NoAHM
900,9,Fish-based,North African fish-based,North African fish-based subsystem,FiNAF,NoAFB
9907,7,Humid lowland tree crop,Humid lowland tree crop,Humid lowland tree crop farming system,HuLTC,HuLTC
9909,9,Fish-based,Fish-based,Fish-based farming system,FiNAF,FiB
9910,10,Forest-based,Forest-based,Forest-based farming system,FoNAF,FoB
9911,11,Large-scale irrigated,Large-scale irrigated,Large-scale irrigated farming system,LaI,LaSI
9913,13,Arid pastoral oasis,Arid pastoral oasis,Arid pastoral oasis farming system,ArPO,ArPO
