TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
A,ACOF,VOP,spam2017V2r1_SSA_V_ACOF_A.tif,arabica coffee,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,BANA,VOP,spam2017V2r1_SSA_V_BANA_A.tif,banana,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,BARL,VOP,spam2017V2r1_SSA_V_BARL_A.tif,barley,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,BEAN,VOP,spam2017V2r1_SSA_V_BEAN_A.tif,bean,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,CASS,VOP,spam2017V2r1_SSA_V_CASS_A.tif,cassava,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,CHIC,VOP,spam2017V2r1_SSA_V_CHIC_A.tif,chickpea,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,CNUT,VOP,spam2017V2r1_SSA_V_CNUT_A.tif,coconut,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,COCO,VOP,spam2017V2r1_SSA_V_COCO_A.tif,cocoa,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,COTT,VOP,spam2017V2r1_SSA_V_COTT_A.tif,cotton,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,COWP,VOP,spam2017V2r1_SSA_V_COWP_A.tif,cowpea,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,GROU,VOP,spam2017V2r1_SSA_V_GROU_A.tif,groundnut,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,LENT,VOP,spam2017V2r1_SSA_V_LENT_A.tif,lentil,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,MAIZ,VOP,spam2017V2r1_SSA_V_MAIZ_A.tif,maize,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,OCER,VOP,spam2017V2r1_SSA_V_OCER_A.tif,other cereals,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,OFIB,VOP,spam2017V2r1_SSA_V_OFIB_A.tif,other fibre crops,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,OILP,VOP,spam2017V2r1_SSA_V_OILP_A.tif,oilpalm,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,OOIL,VOP,spam2017V2r1_SSA_V_OOIL_A.tif,other oil crops,all technologies,spam2017v2r1_ssa_val_prod.geotiff
